Datetime,Open,High,Low,Close,Volume
2020-01-20 06:50:00,1.1095,1.10953,1.1095,1.10952,42
2020-01-20 06:55:00,1.10951,1.10966,1.1095,1.10966,85
2020-01-20 07:00:00,1.10966,1.10967,1.10965,1.10966,17
2020-01-20 07:05:00,1.10966,1.10967,1.10961,1.10962,14
2020-01-20 07:10:00,1.10962,1.10964,1.10961,1.10961,62
2020-01-20 07:15:00,1.10961,1.10964,1.10961,1.10961,22
2020-01-20 07:20:00,1.10961,1.10965,1.1096,1.10961,68
2020-01-20 07:25:00,1.1096,1.10962,1.1095,1.10952,65
2020-01-20 07:30:00,1.10951,1.10961,1.10951,1.10961,90
2020-01-20 07:35:00,1.10961,1.10962,1.10958,1.10961,14
2020-01-20 07:40:00,1.1096,1.10973,1.10957,1.10972,34
2020-01-20 07:45:00,1.10973,1.10989,1.10972,1.10987,102
2020-01-20 07:50:00,1.10986,1.10989,1.1097,1.10972,93
2020-01-20 07:55:00,1.10973,1.10982,1.10964,1.10979,161
2020-01-20 08:00:00,1.10979,1.1099,1.10977,1.10987,128
2020-01-20 08:05:00,1.10986,1.10997,1.10986,1.10991,67
2020-01-20 08:10:00,1.10992,1.11002,1.10988,1.10996,152
2020-01-20 08:15:00,1.10998,1.11,1.10991,1.10998,127
2020-01-20 08:20:00,1.10999,1.11007,1.1099,1.11002,113
2020-01-20 08:25:00,1.11002,1.11007,1.10997,1.11005,205
2020-01-20 08:30:00,1.11005,1.1101,1.11001,1.11001,93
2020-01-20 08:35:00,1.11001,1.11002,1.10983,1.10994,108
2020-01-20 08:40:00,1.10994,1.11001,1.10989,1.11,115
2020-01-20 08:45:00,1.10998,1.10998,1.10992,1.10996,106
2020-01-20 08:50:00,1.10996,1.11003,1.10995,1.11002,58
2020-01-20 08:55:00,1.11003,1.11013,1.11002,1.11006,96
2020-01-20 09:00:00,1.11006,1.11012,1.11,1.11005,233
2020-01-20 09:05:00,1.11005,1.11014,1.11005,1.11011,116
2020-01-20 09:10:00,1.11011,1.11011,1.10985,1.10991,133
2020-01-20 09:15:00,1.10991,1.11005,1.10987,1.10992,176
2020-01-20 09:20:00,1.10992,1.11024,1.10983,1.11015,136
2020-01-20 09:25:00,1.11016,1.11017,1.10976,1.10987,244
2020-01-20 09:30:00,1.10986,1.10991,1.10976,1.10988,238
2020-01-20 09:35:00,1.10988,1.10988,1.10965,1.10968,182
2020-01-20 09:40:00,1.10969,1.10976,1.10965,1.10971,205
2020-01-20 09:45:00,1.10968,1.10982,1.10965,1.10982,189
2020-01-20 09:50:00,1.10981,1.10986,1.10971,1.10972,152
2020-01-20 09:55:00,1.10971,1.1098,1.1094,1.10945,335
2020-01-20 10:00:00,1.10947,1.10974,1.10944,1.10945,327
2020-01-20 10:05:00,1.10945,1.10946,1.10902,1.10913,279
2020-01-20 10:10:00,1.10912,1.10913,1.10895,1.10899,241
2020-01-20 10:15:00,1.10898,1.10911,1.10894,1.10901,226
2020-01-20 10:20:00,1.10902,1.1094,1.109,1.1092,271
2020-01-20 10:25:00,1.1092,1.10952,1.1092,1.10952,228
2020-01-20 10:30:00,1.10951,1.10951,1.10917,1.10929,243
2020-01-20 10:35:00,1.10929,1.10942,1.10926,1.1093,192
2020-01-20 10:40:00,1.10931,1.10935,1.10906,1.1091,192
2020-01-20 10:45:00,1.1091,1.10915,1.10898,1.10903,192
2020-01-20 10:50:00,1.10903,1.10931,1.10903,1.10915,178
2020-01-20 10:55:00,1.10913,1.10914,1.10888,1.1089,304
2020-01-20 11:00:00,1.10891,1.10897,1.10856,1.10861,275
2020-01-20 11:05:00,1.10861,1.10871,1.10823,1.1087,476
2020-01-20 11:10:00,1.10872,1.10879,1.10849,1.10849,269
2020-01-20 11:15:00,1.10851,1.10868,1.10849,1.10862,289
2020-01-20 11:20:00,1.10862,1.10886,1.10858,1.10879,208
2020-01-20 11:25:00,1.1088,1.10881,1.10841,1.10848,220
2020-01-20 11:30:00,1.10847,1.10862,1.10847,1.10857,205
2020-01-20 11:35:00,1.10857,1.10896,1.10855,1.10882,252
